company,role,job_link,location,remote,status,date_applied,follow_up_date,contact_name,contact_email,contact_link,notes
Guac,Backend / Fullstack Engineer,email:jack@guac-ai.com,NYC onsite,No,Submitted,2026-06-04,2026-06-11,Jack,,jack@guac-ai.com,Submitted by email with attached resume; $150k-$250k; Python/FastAPI/forecasting fit; sent message id 19e935f5e66ab1a3
Cora AI,Founding Full Stack / Applied AI Engineer,email:careers@cora.ai,Remote US,Yes,Submitted,2026-06-04,2026-06-11,,,careers@cora.ai,Submitted by email with attached resume; $190k-$250k; agents/RAG/evals fit; sent message id 19e935f8f2baa36d
Opaxa,Founding Full-Stack Engineer,email:colton@opaxa.ai,San Francisco onsite,No,Submitted,2026-06-04,2026-06-11,Colton,,colton@opaxa.ai,Submitted by email with attached resume; $200k-$300k; agent platform/full-stack fit; sent message id 19e935fc366fda2d
Stealth Property Management AI,Forward Deployed Engineer - Backend Python,email:mercedes@kinxshn.com,Remote UTC-3 to UTC+3,Yes,Submitted,2026-06-04,2026-06-11,Mercedes,,mercedes@kinxshn.com,Submitted by email with attached resume; backend Python/agent systems/client-facing fit; sent message id 19e935ff6e38f8ad
IonQ,Senior Research Software Engineer,https://job-boards.greenhouse.io/ionq/jobs/5998606004,Boston hybrid,No,Blocked,,,,,,Greenhouse form accessible and partially filled; blocked by required export-control/legal authorization/citizenship questions
Oscilar,Sr./Staff Machine Learning Engineer,https://jobs.ashbyhq.com/oscilar/a62ed890-59d2-4ec4-ab76-e60d7692d14a?utm_source=HackerNews,Remote,Yes,Blocked,,,,,,Ashby form accessible; blocked by required work authorization and sponsorship questions plus resume file upload
Strata Decision Technology,Applied Machine Learning Engineer,https://job-boards.greenhouse.io/stratacareers/jobs/7452181003,Chicago hybrid,No,Blocked,,,,,,Greenhouse form accessible with manual resume; not submitted because role requires Chicago campus commute and sponsorship answer
Seeq,Backend Software Engineer - Staff/Principal,https://apply.workable.com/seeq/j/CDBF1AE73C/,Remote,Yes,Not qualified,,,,,,Workable form accessible; not submitted because required question asks for at least 10 years professional software development
Censys,Senior Machine Learning Engineer,https://job-boards.greenhouse.io/censys/jobs/8500292002,Remote US,Yes,Blocked,,,,,,Greenhouse form accessible with manual resume; blocked by required US work authorization/sponsorship/US-citizen confirmation
CoreStory,AI Engineer,https://job-boards.greenhouse.io/corestory/jobs/4984207007,Remote US,Yes,Blocked,,,,,,Strong fit; Greenhouse form requires work authorization and sponsorship answers
Splitero,Applied AI Engineer,https://job-boards.greenhouse.io/splitero/jobs/5162723008,Remote US,Yes,Blocked,,,,,,Strong fit; Greenhouse form requires US location/timezone and authorization without sponsorship
SmarterDx,Staff Software Engineer - Machine Learning,https://job-boards.greenhouse.io/smarterdx/jobs/4730428007,Remote US,Yes,Blocked,,,,,,High-comp healthcare ML fit; Greenhouse form requires sponsorship and US residence answers
Machinify,AI Engineer - Agentic Systems,https://job-boards.greenhouse.io/machinifyinc/jobs/4146862009,Remote US,Yes,Blocked,,,,,,Strong healthcare agentic AI fit; Greenhouse form requires authorization/sponsorship/US residence answers
Piq Energy,Full Stack Software Engineer,https://jobs.gem.com/piqenergy/am9icG9zdDqgTj8NyVDwal1rIjQFnwC5,United States remote,Yes,Blocked,,,,,,"Direct Gem application form found; strong Python/FastAPI/LLM agents/Postgres fit; blocked by required resume file upload, CAPTCHA/anti-bot flow, and required visa sponsorship answer"
Obsidian Security,Staff Software Engineer,https://job-boards.greenhouse.io/obsidiansecurity/jobs/5152706008,US Remote,Yes,Blocked,,,,,,Greenhouse form accessible with manual resume option; blocked by required visa sponsorship answer; also asks relatives-at-company question
MixRank,Software Engineer - Global Remote,https://www.ycombinator.com/companies/mixrank/jobs/RXQspen-software-engineer-global-remote,Global remote,Yes,Blocked,,,,,,Direct YC Work at a Startup application found; strong Python/PostgreSQL/Linux/data systems fit; blocked by required YC/Work-at-a-Startup account login before applying
Kepler,Full Stack Engineer,https://jobs.ashbyhq.com/kepler-ai/52624a4e-33e3-4f16-8028-026c94fb2eb8,New York City onsite,No,Submitted,2026-06-09,2026-06-16,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Thanks for applying to Kepler / application successfully submitted; current location truthfully listed as Fairmont WV; onsite NYC caveat remains
CoPlane,Forward Deployed AI Engineer,https://coplane.com/careers/forward-deployed-ai-engineer,NYC or US Remote with travel,Yes,Blocked,,,,,,Direct role page found; strong customer-facing Python automation/AI implementation fit; blocked because posting explicitly requires existing US work authorization and no visa sponsorship
Nova Credit,Senior Data Scientist,https://job-boards.greenhouse.io/novacredit/jobs/4253031009,New York NY hybrid,No,Blocked,,,,,,Greenhouse form accessible with manual resume option; strong Python/SQL/ML/NLP/document-fraud fit; blocked by required NYC hybrid commute/relocation answer plus US work authorization and sponsorship questions
DrSwarm,Founding Engineer - Full Stack,email:jobs@drswarm.com,Remote US/LATAM,Yes,Submitted,2026-06-09,2026-06-16,,,jobs@drswarm.com,Submitted by email with attached resume; healthcare AI workflow automation fit; sent message id 19eacfc539d3c6a3
Servicing Copilot,Senior Full-Stack Contractor,email:info@readifinancial.com,Remote EST overlap,Yes,Submitted,2026-06-09,2026-06-16,,,info@readifinancial.com,Submitted by email with attached resume; AI-native mortgage servicing ops workflow fit; sent message id 19eacfc77a5b746d
Pelotech,Staff Software Engineer,email:henry.anderson@pelo.tech,Remote US,Yes,Submitted,2026-06-09,2026-06-16,Henry Anderson,,henry.anderson@pelo.tech,Submitted by email with attached resume; remote consulting/software engineering fit; sent message id 19eacfca1b8e0a23
Sequent Tech,Senior Fullstack Engineer,email:team@sequentech.io,Remote global,Yes,Submitted,2026-06-09,2026-06-16,,,team@sequentech.io,Submitted by email with attached resume; secure voting/blockchain-adjacent full-stack systems fit; sent message id 19eacfccb6af7c32
Hatchet,Full-Stack Engineer,email:alexander@hatchet.run,"NYC, SF, or Remote US/EU",Yes,Submitted,2026-06-09,2026-06-16,Alexander,,alexander@hatchet.run,Submitted by email with attached resume; backend workflow/platform tooling fit; sent message id 19eacfcf42802084
Join,Staff Software Engineer - Web,email:jon@join.build,Remote US/Canada,Yes,Submitted,2026-06-09,2026-06-16,Jon,,jon@join.build,Submitted by email with attached resume; construction SaaS product engineering fit; sent message id 19eae0d5ef0635c7
CO-Ver,Fullstack / Senior Fullstack SWE,email:recruiting@co-ver.com,Remote US,Yes,Submitted,2026-06-09,2026-06-16,,,recruiting@co-ver.com,Submitted by email with attached resume; AI construction change-order review workflow fit; sent message id 19eae0d819de1f2a
Radar Labs,Software Engineer,email:tim@radar.com,Remote US or NYC,Yes,Submitted,2026-06-09,2026-06-16,Tim,,tim@radar.com,Submitted by email with attached resume; data platform/anomaly detection/geolocation systems fit; sent message id 19eae0da7eda4725
Fusionbox,Python + TypeScript Engineer,email:info@fusionbox.com,Remote US,Yes,Submitted,2026-06-09,2026-06-16,,,info@fusionbox.com,Submitted by email with attached resume; consulting Python/TypeScript/client delivery fit; sent message id 19eae0dd25355d82
Laminar Engineering,Full-Stack CV/ML Systems Engineer,email:hiring@laminr.co,Remote contract,Yes,Submitted,2026-06-09,2026-06-16,,,hiring@laminr.co,Submitted by email with attached resume; computer vision/ML/full-stack systems fit; sent message id 19eae0df8cd5047f
Kanary,Full Stack Engineer,email:steven@kanary.com,Remote US,Yes,Submitted,2026-06-09,2026-06-16,Steven,,steven@kanary.com,Submitted by email with attached resume; personal security/risk-modeling Python React fit; sent message id 19eae0e1c3b2a5d7
Kyra Health,Senior / Staff Product Engineer,email:n@kyra.health,Remote USA,Yes,Submitted,2026-06-09,2026-06-16,,,n@kyra.health,Submitted by email with attached resume; healthcare/fintech/AI workflow product fit; sent message id 19eae0e4633025cd
Estuary,Data / Software Engineering,email:careers@estuary.dev,Remote US,Yes,Submitted,2026-06-09,2026-06-16,,,careers@estuary.dev,Submitted by email with attached resume; data infrastructure and pipeline fit; sent message id 19eae0e6922d1028
Babou,Full Stack Software Engineer,email:careers@babou.ai,Remote,Yes,Submitted,2026-06-09,2026-06-16,,,careers@babou.ai,Submitted by email with attached resume; AI-native marketing workflow/full-stack product fit; sent message id 19eae0e918b4af62
Kepler,Full Stack Engineer / AI Trust Layer,email:eddie.hammond@kepler.ai,New York City onsite,No,Submitted,2026-06-09,2026-06-16,Eddie Hammond,,eddie.hammond@kepler.ai,Direct email outreach/application sent with attached resume after Ashby form blocker; explicitly disclosed WV/remote-friendly location caveat; sent message id 19eae1395eba9a55
Go.Shop,Product Builder - Growth Channels,email:jobs@goshopbrands.com,Remote GMT to GMT+8,Yes,Submitted,2026-06-09,2026-06-16,,,jobs@goshopbrands.com,Submitted by email with attached resume; AI-powered creator/DTC product systems fit; sent message id 19eae13be31cee3e
DearHiringManager / Karhuno Group,Full-Stack Developer,email:lars@dearhiringmanager.io,Remote US,Yes,Submitted,2026-06-09,2026-06-16,Lars,,lars@dearhiringmanager.io,Submitted by email with attached resume; AI job-search/product automation meta-fit; sent message id 19eae13eaad47261
Modal,Software Engineer - AI Infrastructure/Product Systems,email:can@modal.com,"SF or NYC onsite, possible adjacent fit",No,Submitted,2026-06-09,2026-06-16,,,can@modal.com,Direct email outreach/application sent with attached resume; AI infra/serverless ML fit; explicitly disclosed WV/remote-friendly location caveat; sent message id 19eae141d8b56ccd
Tenera,Founding Engineer / AI Product Systems,email:suzie@trytenera.ai,San Francisco onsite,No,Submitted,2026-06-09,2026-06-16,Suzie,,suzie@trytenera.ai,Direct email outreach/application sent with attached resume; agent/human product-decision layer fit; explicitly disclosed WV/remote-friendly location caveat; sent message id 19eae1448064fdb4
Albert,AI / Product Engineering Roles,email:recruiting@albert.com,Remote global,Yes,Submitted,2026-06-09,2026-06-16,,,recruiting@albert.com,Direct email outreach/application sent with attached resume; high-upside consumer fintech AI/product role; seniority caveat stated honestly; sent message id 19eae14ba67e1593
Strobe Power,Founding Engineer / AI Data-Center Systems,email:keeley@strobepower.com,"Brooklyn, SF, or remote-adjacent discussion",No,Submitted,2026-06-09,2026-06-16,Keeley,,keeley@strobepower.com,Direct email outreach/application sent with attached resume; AI data-center power systems fit; explicitly disclosed WV/remote-friendly location caveat; sent message id 19eae14f2d26b176
Instrumentl,"Sr. Software Engineer, GenAI",https://jobs.lever.co/Instrumentl/85b9edb5-b23d-4a44-8d0a-3f861130b397/apply,Remote - USA / Remote - Canada,Yes,Blocked,,,,,,Official Lever form inspected; strong GenAI/RAG/evals fit; blocked by required US work authorization and future visa sponsorship answers plus resume upload
Panopto,AI Engineer,https://jobs.lever.co/panopto/4c4fe959-597b-493f-bc08-a3a268153a32/apply,Remote US,Yes,Blocked,,,,,,"Official Lever form inspected; strong LLM/MCP/evals/observability fit; blocked by required work authorization, future sponsorship, mailing address, non-compete, salary-range confirmation, AI interview agreement, essay answers, and resume upload"
Findigs,Lead Software Engineer,https://jobs.lever.co/findigs/1ea92751-1c85-4eb6-84b4-86c5293fb477/apply,Remote US,Yes,Blocked,,,,,,"Official Lever form inspected; blocked by required work authorization, visa/sponsorship, address, and relocation/location questions"
Jeeves,Senior AI Engineer,https://jobs.lever.co/tryjeeves/2f00206f-6091-4eed-8b5f-1325afdbfe30/apply,Remote,Yes,Blocked,,,,,,Official Lever form inspected; fintech AI/backend fit; blocked by required monthly salary requirement and unconfirmed language/team-history answers
Collate,AI Engineer,https://jobs.lever.co/collate/377f2cf3-6285-42c1-8130-dd3dd2c866cb/apply,San Francisco onsite,No,Submitted,2026-06-09,2026-06-16,,,,"Submitted through official Lever application form; confirmation page displayed Application submitted; resume upload was optional/unavailable in browser, so submitted contact info plus LinkedIn, GitHub, portfolio, and Substack; location caveat: current location truthfully listed as Fairmont WV"
Entefy,Machine Learning Engineer,https://jobs.lever.co/entefy/52af79e3-49c6-4c57-bcf1-1151b4f4af3d/apply,Remote,Yes,Blocked,,,,,,Official Lever form inspected; blocked by required US work authorization and sponsorship questions plus truth-certification checkbox
Egen,Senior AI/ML Engineer,https://jobs.lever.co/egen/1b870652-5768-45e9-b55b-4420e6402314/apply,Remote,Yes,Blocked,,,,,,Official Lever form inspected; blocked by required citizenship/permanent-resident/OPT/sponsorship status question and custom required essays
Influur,AI Engineer,https://jobs.lever.co/influur/e799f7bf-9280-4d22-8f1c-387d322f1011/apply,San Francisco Bay Area remote,Yes,Blocked,,,,,,"Official Lever form inspected; blocked by required legal authorization question, resume upload, and required custom application questions"
AHEAD,"Senior AI Engineer, AI Services",https://jobs.lever.co/thinkahead/1ffb36db-8d38-497e-8eb6-21ad13889464/apply,United States remote,Yes,Blocked,,,,,,"Official Lever form inspected; blocked by required work authorization, salary, address, government/clearance-style fields, and acknowledgement questions"
Element Solutions,Machine Learning/AI Engineer,https://jobs.lever.co/elementsolutions/49e3997a-5e50-49cd-a390-00358bb4908c/apply,United States remote,Yes,Blocked,,,,,,"Official Lever form inspected; blocked by required legal authorization, visa sponsorship, citizenship, security clearance, government/background-check, and salary questions"
Collate,Software Engineer Backend,https://jobs.lever.co/collate/6e60404a-4cd5-486d-ad73-eeb6d52d7a6a/apply,San Francisco onsite,No,Submitted,2026-06-09,2026-06-16,,,,"Submitted through official Lever application form; confirmation page displayed Application submitted; resume upload was optional/unavailable in browser, so submitted contact info plus LinkedIn, GitHub, portfolio, and Substack; backend/product systems fit for Python, TypeScript, Postgres, APIs, data pipelines, and AI/ML services; location caveat: current location truthfully listed as Fairmont WV"
Virtasant,Senior Data Engineer Data Platform,https://virtasant.teamtailor.com/jobs/7563920-senior-data-engineer-data-platform,Remote contiguous USA,Yes,Blocked,,,,,,Official Teamtailor form inspected; strong data-platform fit; blocked by required resume file upload and visa/citizenship/sponsorship-related job questions
PrairieLearn,Full-Stack Software Engineer,https://jobs.ashbyhq.com/PrairieLearn/ee6fdbc3-1c3a-4fa3-bb3f-13ddab449baf/application,United States remote,Yes,Submitted,2026-06-10,2026-06-17,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; open-source education platform fit with TypeScript/Postgres/React, AI tooling, dashboards, automation, and public GitHub proof of work"
Atom Computing,Senior Software Engineer,https://jobs.lever.co/atomcomputing/fba81164-79d4-4177-84b5-abdfe89aadd1/apply,Boulder CO or Austin TX onsite,No,Blocked,,,,,,Official Lever form inspected; high-comp technical software fit but not AI-focused; blocked by required onsite location selection plus work authorization and visa sponsorship text answers
Veedma,Founding Product Engineer,https://app.dover.com/apply/Veedma/8f5e6d01-75f1-46a8-b5b7-9ecddc685869/,Remote US,Yes,Not qualified,,,,,,"Official Dover form inspected; form itself is light, but role requires 10+ years production web apps plus deep healthcare/telehealth/EHR/HIPAA background, which is not a truthful fit"
Veedma,Founding Growth Engineer,https://app.dover.com/apply/Veedma/d39d76d3-e968-407c-b268-0faf875a368d/,Remote US,Yes,Not qualified,,,,,,"Official Dover form inspected; role requires 10+ years senior hands-on growth plus deep healthcare/telehealth/pharmacy/supplements background, which is not a truthful fit"
Factory AI,"Software Engineer, AI",https://jobs.ashbyhq.com/factory/2243dab2-62dc-4c64-b4bc-8f7314475607/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; top AI-tools target and strong applied AI fit, but blocked by required resume upload/reCAPTCHA; additional caveat: role is five days per week in San Francisco"
Return,BESS Optimization Developer Python,https://jobs.polymer.co/return/40229,Remote EU with Amsterdam overlap,No,Blocked,,,,,,"Official Polymer form inspected; strong Python/forecasting/optimization fit, but blocked by required resume upload and location restriction to EU remote"
AI Fund,Founding Engineer AI-Native,https://jobs.lever.co/AIFund/3606216b-19c1-4a8d-8602-f830f5e75997/apply,San Francisco hybrid,No,Blocked,,,,,,"Official Lever form inspected and filled with resume PDF; high-upside AI Fund portfolio fit; final click blocked by hCaptcha security challenge intercepting submit button, so no submission confirmed"
AI Fund,Technical Builder,https://jobs.lever.co/AIFund/0c921ef9-a780-4966-bb61-a61a11de1a49/apply,Palo Alto onsite,No,Blocked,,,,,,"Official Lever form inspected and filled with resume PDF; high-upside AI Fund builder role, but final submission returned Lever verification error; no submission confirmed; onsite Palo Alto caveat remains"
AI Fund,Engineer in Residence,https://jobs.lever.co/AIFund/6a5cdc52-a017-4b31-9ae1-23c50df1d901/apply,Mountain View onsite,No,Blocked,,,,,,"Official Lever form inspected; strong builder/AI-workflow fit, but blocked by required resume upload, required Mountain View five-days/week answer, stipend comfort answer, sponsorship answer, and long-form project/workflow responses"
Ascertain,Applied AI Engineer,https://jobs.ashbyhq.com/ascertain/e2b09339-b7cb-42d1-a666-68908329ceb8/application,NYC or Remote,Yes,Submitted,2026-06-09,2026-06-16,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; applied AI agent/workflow healthcare fit; required fields were name, email, resume, and LinkedIn"
Mostest,Applied AI Engineer - North American Timezones,https://jobs.ashbyhq.com/mostest/68e436d6-b632-434e-93ab-9314a642dce5/application,Remote - North American Timezones,Yes,Submitted,2026-06-09,2026-06-16,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; tailored response emphasized practical AI systems, evaluation dashboards, product workflows, and event-operations fit"
Railway,Senior Full-Stack Engineer - Product,https://jobs.ashbyhq.com/Railway/6ddcfe47-6cce-469b-ba6d-4f0e83440c9d/application,Remote - United States / Global,Yes,Submitted,2026-06-09,2026-06-16,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Thank you for your interest / application successfully submitted; tailored Why Railway response emphasized TypeScript/React, APIs, Postgres/Redis/Docker/GitHub Actions, repo-health, and AI workflow dashboards"
Chestnut,Software Engineer (Mid-Level),https://jobs.ashbyhq.com/Chestnut/2844b807-d2cc-43f1-aee8-58c2dd1c6899/application,San Francisco / Seattle hybrid,No,Submitted,2026-06-09,2026-06-16,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Thanks for applying to Chestnut; a16z-backed AI-native insurance startup fit; current location caveat remains
Neo.Tax,Senior Full-Stack Software Engineer,https://jobs.ashbyhq.com/neo-tax/38d3b2b4-1c4b-461d-8142-d006665334ff/application,Remote - Pacific Time Zone,Yes,Blocked,,,,,,Official Ashby form inspected; blocked by required years-of-professional-full-time-software-engineering answer plus required US work authorization and visa sponsorship answers
Braintrust,Open Source Engineer - Python,https://jobs.ashbyhq.com/braintrust/ba4d6676-f65c-42c9-84ee-285f2da15e0d/application,Remote / NYC / Seattle,Yes,Blocked,,,,,,"Official Ashby form re-inspected on 2026-06-14; excellent remote AI eval/open-source Python fit, and the live Ashby form surfaced a 90-day company-wide application limit plus a required open-source-project-links field, but the only unknown blocker is the future visa sponsorship answer."
Baseten,Applied AI Inference Engineer,https://jobs.ashbyhq.com/baseten/90e9ff4e-1225-4b1b-b0b4-2362e36d9cfa/application,San Francisco / New York / Remote hybrid,Yes,Blocked,,,,,,"Official Ashby form inspected; excellent AI inference/FDE fit, but blocked by required unrestricted US work authorization and future employment-based visa sponsorship answers"
Baseten,AI Solutions Engineer,https://jobs.ashbyhq.com/baseten/508b792d-57a0-467e-9a89-76fe72e84433/application,San Francisco / New York / Remote hybrid,Yes,Blocked,,,,,,"Official Ashby form inspected; strong AI solutions/forward-deployed fit, but blocked by required unrestricted US work authorization and future employment-based visa sponsorship answers"
Fireworks AI,"Member of Technical Staff, Evals & Post-Training Product",https://jobs.ashbyhq.com/fireworksai/cca38fd5-9cbd-4cee-8fdb-d6e6d230b036/application,San Mateo onsite,No,Blocked,,,,,,"Official Ashby form inspected; excellent evals/post-training fit, but blocked by required work authorization status, full-time San Mateo onsite answer, ideal start date, and compensation expectations"
Piramidal,Forward Deployed Engineer,https://job-boards.greenhouse.io/piramidalinc/jobs/4212486009,New York onsite,No,Blocked,,,,,,"Official Greenhouse form inspected; strong healthcare AI/ML deployment fit, but blocked by required US work authorization answer and onsite/client-travel caveat"
Arize,AI Sales Engineer - US,https://arize.com/career/?gh_jid=5792327004,Remote United States,Yes,Blocked,,,,,,"Official Greenhouse form inspected; strong AI observability/evals sales-engineering fit, but blocked by required customer-facing experience answer plus required sponsorship and US work authorization answers"
Anthropic,Research Engineer - Model Evaluations,https://job-boards.greenhouse.io/anthropic/jobs/5198255008,"Remote-Friendly (Travel-Required) | San Francisco, CA | New York City, NY",Yes,Blocked,,,,,,"Official Greenhouse form inspected on 2026-06-12; exceptional evals/dashboard/reliability fit, but blocked by required answers on 25%-office availability, Why Anthropic, current/future visa sponsorship, relocation posture/address, and prior Anthropic interview history. Earliest-start and timeline fields are optional."
Anthropic,"Research Engineer, Knowledge Team",https://job-boards.greenhouse.io/anthropic/jobs/4017331008,"Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY",Yes,Blocked,,,,,,"Official Greenhouse form inspected on 2026-06-12; exceptional fit for agentic knowledge systems, evals, Python, search/data architecture, and practical AI engineering, but blocked by required answers on 25%-office availability, Why Anthropic, future visa sponsorship, relocation posture, and prior Anthropic interview history. Cover-letter file/text can satisfy the required Additional Information field."
Anthropic,Data Scientist - Developer Productivity,https://job-boards.greenhouse.io/anthropic/jobs/5197529008,"San Francisco, CA | New York City, NY",No,Blocked,,,,,,"Official Greenhouse form inspected; strong Python/SQL/dashboard/experimentation fit, but blocked by required unknown answers on 25%-office availability, earliest start/timeline, visa sponsorship, relocation/address, and prior-interview history"
OpenAI,AI Deployment Engineer - Codex,https://openai.com/careers/ai-deployment-engineer-codex-remote-us/,Remote - US,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; strong remote Codex/developer-productivity/public-guides fit, but blocked by required earliest-start-date, current-work-authorization, future-visa-sponsorship, and arbitration/certification acknowledgements. Role also remains a senior stretch because the posting asks for 5+ years of customer-facing deployment/solutions experience."
OpenAI,"Applied AI Engineer, Codex Core Agent",https://openai.com/careers/applied-ai-engineer-codex-core-agent-san-francisco/,"San Francisco / New York City / Seattle / London, UK",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; exceptional Codex/evals/agent-behavior fit with $230K-$385K range, but blocked by required earliest-start-date, current-work-authorization, future-visa-sponsorship, and 3-days-per-week San Francisco office answers, plus arbitration/certification acknowledgements."
xAI,Exceptional Software Engineer,https://job-boards.greenhouse.io/xai/jobs/4956028007,"Austin TX, New York NY, Palo Alto CA, Seattle WA",No,Blocked,,,,,,"Official Greenhouse form inspected; strong builder-energy/public-project fit, but blocked by required unknown answer on future US visa sponsorship and practical relocation/onsite commitment across listed hubs; form also requires a concise exceptional-work statement"
Cohere,Applied AI Engineer - Agentic Workflows,https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9/application,Remote-friendly / globally distributed,Yes,Blocked,,,,,,Official Ashby form attempted with resume PDF; blocked after submit because the form revealed required Location plus work authorization and future sponsorship questions that should not be guessed
LangChain,"Fullstack Software Engineer, Applied AI",https://jobs.ashbyhq.com/langchain/c75915ba-a32b-4e17-873d-19b47564170d/application,"San Francisco, CA / New York, NY",No,Blocked,,,,,,"Official Ashby form attempted with resume PDF, GitHub, and LinkedIn; blocked after submit because the form revealed a required future US work-sponsorship question that should not be guessed"
Runpod,Software Engineer (Full-Stack),https://job-boards.greenhouse.io/runpod/jobs/4785681008,"Remote, USA",Yes,Blocked,,,,,,"Official Greenhouse form inspected; strong AI infrastructure/full-stack fit with Python/TypeScript/open-source SDK overlap, but blocked by required future employment visa sponsorship answer; page states Runpod is currently unable to sponsor employment visas"
Runpod,Senior Software Engineer (Cloud),https://job-boards.greenhouse.io/runpod/jobs/4142227008,"Remote, USA",Yes,Blocked,,,,,,"Official Greenhouse form inspected; AI cloud infrastructure fit, but blocked by required future employment visa sponsorship answer; role also asks 3+ years professional software development with Go experience"
Runpod,Site Reliability Engineer,https://job-boards.greenhouse.io/runpod/jobs/5229443008,"Remote, USA",Yes,Not qualified,,,,,,"Official Greenhouse form inspected; AI infrastructure company is attractive, but SRE role asks 5+ years SRE/Reliability/Production Engineering experience and requires future visa sponsorship answer"
Sourcegraph,Software Engineer - Code Understanding IC2,https://job-boards.greenhouse.io/sourcegraph91/jobs/5855148004,Remote,Yes,Blocked,,,,,,"Official Greenhouse form inspected; strong developer-tools/code-intelligence fit, but blocked by required compensation target, employment visa sponsorship, exact professional-experience answers, and required work-location details"
Glean,Founding Forward Deployed Engineer,https://job-boards.greenhouse.io/gleanwork/jobs/4651991005,Remote - US,Yes,Blocked,,,,,,"Official Greenhouse form inspected; excellent enterprise AI agents/FDE fit, but blocked by required compensation expectations and exact relevant-years answer"
