company,role,target_tier,url,fit_reason,next_action,status,notes
Trace Labs,"Software Engineer, Full Stack",Sweet spot,https://jobs.ashbyhq.com/tracelabs/963005ce-f4f1-4d54-957d-139b7849cb4a,"Strong fit for physical-AI data infrastructure, Python plus TypeScript/React shipping, PostgreSQL, data pipelines, observability, and customer-facing product ownership","Apply once current U.S. work authorization and future sponsorship facts are confirmed; tailor the 2-4 sentence Why Trace answer around data pipelines, reliability, Omniichain anomaly tooling, and shipped AI product workflows",Target,"Official Ashby form inspected on 2026-06-12; remote U.S. role with $150K-$250K base plus equity and a short required Why Trace answer"
OpenAI,"Software Engineer, Observability",Top lab,https://jobs.ashbyhq.com/openai/d4dcd344-40cf-44d6-a7dd-172118eb0842/application,"Top-lab reliability/telemetry fit across observability, anomaly detection, engineering tooling, SQL-backed metrics, and careful production debugging","Apply once current location, earliest start date, current work authorization, future sponsorship, and 3-days-per-week office posture are confirmed; tailor Additional Information around evaluation dashboards, anomaly detection, and practical reliability-minded AI engineering",Target,"Official Ashby form inspected on 2026-06-13; strongest newly found OpenAI infra/reliability role, with arbitration acknowledgement and a 5-applications-per-180-days note"
Together AI,"Backend Software Engineer - Data Platform & AI Data Products",Sweet spot,https://job-boards.greenhouse.io/togetherai/jobs/5064263007,"Strong fit for Python/SQL backend systems, data products, event/data-platform thinking, prompt taxonomy workflows, and evaluation/drift monitoring","Apply once San Francisco 4-days-per-week willingness plus current work authorization and future sponsorship facts are confirmed; optional cover-letter field can use the dedicated cover-letter assets if submission is unlocked",Target,"Official Greenhouse form inspected on 2026-06-13; 0-4 years scope, $120K-$170K base plus equity, and direct overlap with data pipelines plus LLM-adjacent metadata/evaluation systems"
Teamworks,"Senior Applied AI Engineer",Sports bonus,https://jobs.ashbyhq.com/teamworks/2564b994-e9ce-4aa1-8400-9f143c79b635/application,"Direct sports-tech AI fit leveraging AI Advantage Sports, TypeScript/Node backend work, GenAI product workflows, and decision-support systems","Apply once U.S.-citizenship and intended-work-location facts are confirmed; answer source truthfully as company careers page and tailor the shipped-GenAI example around AI Advantage Sports or another production workflow",Target,"Official Ashby form inspected on 2026-06-13; remote U.S. sports-tech role, but the form says it is open to U.S. citizens only because of federal contract/security requirements"
Mirage (Captions),"Software Engineer, Early Career",Sweet spot,https://jobs.ashbyhq.com/mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7/application,"Strong multimodal AI/product-engineering fit across agentic systems, web product, full-stack shipping, and public proof-of-work","Apply once future sponsorship and NYC office-willingness facts are confirmed; tailor the project answer around AI Advantage Sports/OpenClaw and state the preferred focus area truthfully, likely Applied AI or Web-Product",Target,"Official Ashby form inspected on 2026-06-13; Captions/Mirage listed this Union Square NYC role at $160K-$165K base plus equity and asks for a strong project walkthrough"
ElevenLabs,Engineering - Internal AI Transformation,Sweet spot,https://jobs.ashbyhq.com/elevenlabs/a3097257-a07a-4a7e-b9fe-b8555c1a0fa7,"Direct match for internal agentic workflows, Python/SQL backend systems, evaluation/monitoring, and forward-deployed automation across business operations","Official Ashby application submitted on 2026-06-13; follow up around 2026-06-20 if no reply",Target,"Official Ashby submission confirmed on 2026-06-13; remote role for internal AI automations across GTM/Operations/Finance using agents, orchestration, and evaluation frameworks"
Perplexity,"Member of Technical Staff (AI Software Engineer, Agents)",Top lab,https://jobs.ashbyhq.com/perplexity/4ab39122-1d15-4874-8ab7-c6a241472743,"Fresh frontier-role fit for agent behavior, workflow tooling, full-stack AI systems, and evaluation-minded product engineering","Apply once future sponsorship, 4-days-per-week San Francisco office posture, and the required exercise URL are confirmed; phone/location are already known",Target,"Official Ashby form inspected on 2026-06-13; newly published on 2026-06-12 with $220K-$405K plus equity and a required exercise-submission shared URL"
Harvey,Integration Engineer,Sweet spot,https://jobs.ashbyhq.com/harvey/9cb5be7c-24ea-406d-975b-83342a6dee39/application,"Strong fit for Python/JavaScript API integrations, automation, data pipelines, reverse ETL, and cross-functional AI-company systems work","Apply once current legal address, current U.S. work authorization, and future sponsorship facts are confirmed; tailor around Python/SQL pipelines, automation, and reliable cross-system workflows",Target,"Official Ashby form inspected on 2026-06-14; remote role with $133.5K-$200.3K base plus equity/bonus, and the hard blockers surfaced were work-eligibility plus current legal address"
Braintrust,Open Source Engineer - Python,Sweet spot,https://jobs.ashbyhq.com/braintrust/ba4d6676-f65c-42c9-84ee-285f2da15e0d/application,"High-signal evals/observability SDK role with direct overlap on Python, developer tooling, open source, and practical AI reliability work","Apply once future sponsorship is confirmed; include the strongest open-source project links and remember Braintrust allows only one application every 90 days",Target,"Official Ashby form re-inspected on 2026-06-14; remote / NYC / Seattle role, 90-day company-wide application limit, and no separate U.S. work-authorization question surfaced"
Arize,"Forward Deployed AI Engineer, East",Sweet spot,https://job-boards.greenhouse.io/arizeai/jobs/5993755004,"Strong fit for AI observability/evals, Python or TypeScript customer implementations, and forward-deployed technical ownership with enterprise AI teams","Apply once current U.S. work authorization and future sponsorship facts are confirmed; the NYC-metro-or-EST question is truthfully answerable from Eastern Time",Target,"Official Greenhouse form inspected on 2026-06-14; remote New York role with 2-5 years scope and $125K-$175K range, blocked only by work-eligibility answers"
